,latitude,longitude,annee
148,49.6171631,0.7496838,2013.0
149,49.6164494,0.7504,2013.0
150,49.6101685,0.7456052,2013.0
151,49.6167419,0.7505095,2013.0
152,49.6172861,0.7495303,2013.0
153,49.6101587,0.745933,2013.0
154,49.6135841,0.7310981,2013.0
155,49.614325,0.7127095,2013.0
156,49.6014151,0.6899394,2013.0
157,49.596656,0.6779959,2013.0
158,49.5961857,0.6730521,2013.0
159,49.5890834,0.6597733,2013.0
160,49.5847072,0.6443958,2013.0
161,49.5772258,0.6256699,2013.0
162,49.5674222,0.6151963,2013.0
163,49.5644031,0.6002483,2013.0
164,49.5529435,0.5988985,2013.0
165,49.5408839,0.6005915,2013.0
166,49.5499699,0.6088087,2013.0
167,49.5248322,0.5877735,2013.0
168,49.5150582,0.5786756,2013.0
169,49.5052264,0.5712661,2013.0
170,49.4915609,0.5814693,2013.0
171,49.4916277,0.5687393,2013.0
172,49.4886894,0.5668667,2013.0
173,49.4852744,0.5602073,2013.0
174,49.4817538,0.500953,2013.0
175,49.487485,0.5351055,2013.0
176,49.4848253,0.5248254,2013.0
177,49.489457,0.5066528,2013.0
178,49.4805009,0.4493453,2013.0
179,49.4824337,0.4453727,2013.0
180,49.4771144,0.4594823,2013.0
181,49.4729028,0.464453,2013.0
182,49.4639463,0.4736222,2013.0
183,49.4591787,0.4744611,2013.0
184,49.4807398,0.4415595,2013.0
185,49.4529574,0.5241247,2013.0
186,49.4866562,0.48511,2013.0
187,49.3905271,0.5197699,2013.0
188,49.4230145,0.4518519,2013.0
189,49.3908631,0.5203165,2013.0
190,49.4230145,0.4518519,2013.0
191,49.4332795,0.4989946,2013.0
192,49.3906951,0.5200431,2013.0
193,49.4700376,0.5302101,2013.0
194,49.4516407,0.5417651,2013.0
195,49.470071,0.5321766,2013.0
196,49.4516407,0.5417651,2013.0
197,49.4914255,0.5634614,2013.0
198,49.5020911,0.5355685,2013.0
199,49.5155924,0.485815,2013.0
200,49.4778824,0.4730479,2013.0
201,49.3905271,0.5197699,2013.0
202,49.5047092,0.514873,2013.0
203,49.3908631,0.5203165,2013.0
204,49.4226997,0.4522418,2013.0
205,49.3890551,0.5132082,2013.0
206,49.479736,0.4505523,2013.0
207,49.5009212,0.5348935,2013.0
208,49.4941822,0.5349869,2013.0
209,49.4970617,0.5382711,2013.0
210,49.4849406,0.5217897,2013.0
211,49.4914135,0.5634494,2013.0
212,49.4784678,0.4801299,2013.0
213,49.4914135,0.5634494,2013.0
214,49.4784678,0.4801299,2013.0
215,49.4832163,0.5263983,2013.0
216,49.4816334,0.5109755,2013.0
217,49.4784678,0.4801299,2013.0
218,49.4832163,0.5263983,2013.0
219,49.4784678,0.4801299,2013.0
220,49.4951451,0.5680256,2013.0
221,49.4947174,0.5693089,2013.0
222,49.482783,0.507903,2013.0
223,49.4953367,0.5749189,2013.0
224,49.4889558,0.5758195,2013.0
225,49.4963252,0.5756534,2013.0
226,49.4950453,0.5734538,2013.0
227,49.4909376,0.5821248,2013.0
228,49.4784678,0.4801299,2013.0
229,49.4849406,0.5217897,2013.0
